event_id,source_employee_id,target_employee_id,channel,direction,department_source,department_target,timestamp,weight
b583ddd8-20e3-4731-87bd-59024450e1ad,35cd488f-ccdd-4f71-8ea5-97afab98f43c,fe07fbf1-8023-4564-9110-e0fdcc77e02e,calendar,invited,Engineering,HR,2026-01-27T09:02:00+00:00,1.0
6f606653-d0e6-4806-8e90-068d9d726482,35cd488f-ccdd-4f71-8ea5-97afab98f43c,765a8894-efd1-4fd2-aa1d-90ca209e6d60,email,sent,Engineering,Engineering,2026-01-27T09:05:00+00:00,1.0
274ca570-2a83-4806-ac5d-b690502bdf82,66285347-e5fb-4d16-a740-044486e6a111,99408ce9-5458-4903-a7a4-0bfd8b1a8728,slack,sent,HR,HR,2026-01-27T09:12:00+00:00,1.0
a4542417-2c2b-4f19-afbb-8ef3ef8cbdc7,b4e2c252-caf2-4e95-afeb-eb9604b484ec,37c0d5f9-01e6-40f6-9f68-5e2e7375cfd0,slack,sent,HR,HR,2026-01-27T09:14:00+00:00,1.0
f1efefb4-c86f-4c97-adba-505e8df1c400,b25fcb68-be1f-411f-b158-64e0a6930f65,9f17bc26-da3b-4eab-9d20-ecce73b0b6f5,jira,assigned,Engineering,Engineering,2026-01-27T09:18:00+00:00,1.0
2b97260d-19d2-4245-9b29-8a6d5d819788,f8c751f9-26f0-4005-9233-0db4125f28e7,4c6cfb64-fefb-4679-8a3b-107a980688f7,email,sent,Sales,Sales,2026-01-27T09:19:00+00:00,1.0
fbf524e9-aa7c-421c-b560-27e658c3670e,8deced29-97d4-4ad2-85a0-a0cc162fe22e,65695c2e-74c6-44ac-87fc-89172dea36ad,slack,mentioned,HR,HR,2026-01-27T09:22:00+00:00,1.0
d1a15295-4af1-4e05-b245-6a6736371f26,751e100d-9ffb-41ca-8d93-85a0ce6452b7,e76d5f90-c158-4943-a170-facbc8c402e5,email,sent,Engineering,Sales,2026-01-27T09:28:00+00:00,1.0
f8a94115-65d3-486f-9829-2e1eeae4e0ee,f1070cc0-7bdd-46f6-b7db-2be046c128f9,46c5515e-b5ec-46e3-88aa-c3be38ea2347,email,sent,Engineering,Sales,2026-01-27T09:30:00+00:00,1.0
7b0d58ef-2c6a-450d-8450-76800c5520f8,7f94a190-208c-4221-838b-5b21ea3e59c7,f2406ad2-af33-4b9f-acbf-83d6bcc9f3c1,github,reviewed,Engineering,Engineering,2026-01-27T09:34:00+00:00,1.0
a0f68f8c-bf29-4a87-9f40-93258e9cc7b4,60ebc849-73a9-444c-b76a-d53f33510486,f164b6b9-7d39-45a9-9abc-4ad1d56725b8,calendar,invited,Engineering,Engineering,2026-01-27T09:37:00+00:00,1.0
a5791640-11cb-4bc7-9097-a8bc87e9dff3,6f623183-4079-4ba7-b458-7cedff5490a8,19ecb98b-0518-4c7d-aad1-f3156cf6a6cf,jira,mentioned,Sales,Sales,2026-01-27T09:39:00+00:00,1.0
3006831c-4c96-413c-a632-957489a68e95,b25fcb68-be1f-411f-b158-64e0a6930f65,cc57fd32-79dc-482b-be54-13e696a26e44,calendar,invited,Engineering,HR,2026-01-27T09:43:00+00:00,1.0
24a32493-7f74-464e-9c82-dc0a8abc1c1e,8deced29-97d4-4ad2-85a0-a0cc162fe22e,bbba59b2-8922-4582-80c6-eefd389fb6db,calendar,invited,HR,Engineering,2026-01-27T09:46:00+00:00,1.0
cff7c8e8-624f-4b61-95d2-9c2c47f0a6ef,35cd488f-ccdd-4f71-8ea5-97afab98f43c,eb026e83-6ae6-42f3-9460-62acf855237c,slack,sent,Engineering,HR,2026-01-27T09:49:00+00:00,1.0
980d455f-4298-4444-b48b-c6ccfc99a298,7dfdeafa-2757-4e5d-8b7c-b98ae721f571,3ba2296f-f6da-49de-be6a-fd1d89e4ed87,email,sent,HR,HR,2026-01-27T09:52:00+00:00,1.0
e25ca95c-9f6b-4764-be60-d765ed417b6a,b4e2c252-caf2-4e95-afeb-eb9604b484ec,713c3ab1-0cf2-4652-be7c-0247af147192,slack,mentioned,HR,Sales,2026-01-27T09:53:00+00:00,1.0
e695982f-212d-446b-9ad6-5c7e93a731ce,35cd488f-ccdd-4f71-8ea5-97afab98f43c,de5ce709-5f6e-40f5-ae59-25d41199558e,github,assigned,Engineering,Engineering,2026-01-27T09:56:00+00:00,1.0
d2063ea6-f52d-4b8a-b7be-596c796291c2,494764eb-64c3-4078-abcc-9e26f4412b3b,9f17bc26-da3b-4eab-9d20-ecce73b0b6f5,calendar,invited,Engineering,Engineering,2026-01-27T09:56:00+00:00,1.0
e2245777-4c5c-42f4-a9fc-a72c31ffd183,7dfdeafa-2757-4e5d-8b7c-b98ae721f571,b3038936-acbe-40e7-a415-885af5b28b8e,slack,sent,HR,Engineering,2026-01-27T09:56:00+00:00,1.0
2ac181c5-427d-45dd-a795-ad614987af93,35cd488f-ccdd-4f71-8ea5-97afab98f43c,479ce48e-4ae5-45da-bf0e-1f845636ef97,slack,sent,Engineering,Sales,2026-01-27T10:03:00+00:00,1.0
de7b0631-2c24-4575-92d8-970745e4a015,60ebc849-73a9-444c-b76a-d53f33510486,271c5286-2f24-428f-82b6-b1dc8c0461df,slack,sent,Engineering,HR,2026-01-27T10:07:00+00:00,1.0
ef050710-f272-4cdd-ac29-edd37024188e,f8c751f9-26f0-4005-9233-0db4125f28e7,271c5286-2f24-428f-82b6-b1dc8c0461df,calendar,invited,Sales,HR,2026-01-27T10:09:00+00:00,1.0
082cb19f-aa14-43f0-b419-b3865144d4b5,8deced29-97d4-4ad2-85a0-a0cc162fe22e,467e9e67-6080-48f6-b4f8-5b74a9aa21d0,slack,sent,HR,HR,2026-01-27T10:10:00+00:00,1.0
dff2673f-1742-4293-9baa-ab2d71893b86,6d8eec46-8f7e-483d-a8fe-c055409d76e2,1bbc328a-d8dd-44d5-b2d8-7b004bf38537,slack,mentioned,Engineering,HR,2026-01-27T10:19:00+00:00,1.0
8db0b8d6-2222-4e9f-b7f9-8e9d7de1553f,8deced29-97d4-4ad2-85a0-a0cc162fe22e,6099d0ed-3ef7-432b-ace9-2c058cab1ba9,github,reviewed,HR,HR,2026-01-27T10:22:00+00:00,1.0
4a502f3b-2721-4990-bd38-26760670213a,b25fcb68-be1f-411f-b158-64e0a6930f65,d334d547-9938-45dc-88b8-adc69c4d091b,github,assigned,Engineering,Engineering,2026-01-27T10:23:00+00:00,1.0
c1c91cfb-2859-4e66-87a3-8a4aa6b2076e,99408ce9-5458-4903-a7a4-0bfd8b1a8728,b4e2c252-caf2-4e95-afeb-eb9604b484ec,slack,sent,HR,HR,2026-01-27T10:23:00+00:00,1.0
b3cc9bb4-1102-43b3-b583-cf7e9ddf2f36,35cd488f-ccdd-4f71-8ea5-97afab98f43c,468fd235-6de9-4f02-b458-057e414ad6a5,email,sent,Engineering,Sales,2026-01-27T10:24:00+00:00,1.0
b9430e17-fc9e-436d-8b37-fe0f35321c5b,5aa9a202-726f-42dc-8327-a0fa5c2d511a,6f623183-4079-4ba7-b458-7cedff5490a8,github,assigned,Sales,Sales,2026-01-27T10:24:00+00:00,1.0
4331e6be-2897-4ec0-9ba1-00b2d983d134,35cd488f-ccdd-4f71-8ea5-97afab98f43c,e76d5f90-c158-4943-a170-facbc8c402e5,slack,mentioned,Engineering,Sales,2026-01-27T10:25:00+00:00,1.0
8d80bc1c-1ece-480e-874b-ab712baffb7c,3c7c341a-5f75-4306-9348-dafa40d1f155,f5c577a0-212d-47ae-9a30-ec23714590be,slack,mentioned,Engineering,Engineering,2026-01-27T10:26:00+00:00,1.0
c3c65798-d404-4cca-9c6c-293a253587d8,35cd488f-ccdd-4f71-8ea5-97afab98f43c,37c0d5f9-01e6-40f6-9f68-5e2e7375cfd0,calendar,invited,Engineering,HR,2026-01-27T10:29:00+00:00,1.0
54bed1ba-ae7d-42ae-a0c7-986819ea41f6,20fc981a-7248-4a85-98be-2d0896530fc2,68827642-09c0-49cc-bff5-a0d150745657,slack,mentioned,Engineering,Engineering,2026-01-27T10:30:00+00:00,1.0
91151cc6-96df-4729-9992-df60875a8c9d,60ebc849-73a9-444c-b76a-d53f33510486,7dfdeafa-2757-4e5d-8b7c-b98ae721f571,slack,sent,Engineering,HR,2026-01-27T10:31:00+00:00,1.0
fb0dafb3-c655-4159-a92e-443258aff108,b25fcb68-be1f-411f-b158-64e0a6930f65,6845d263-2750-49a0-9197-63bbb8d848cd,slack,sent,Engineering,HR,2026-01-27T10:34:00+00:00,1.0
c372d075-75f5-4bab-ab6a-e7eff62bb2b9,99408ce9-5458-4903-a7a4-0bfd8b1a8728,e311e465-69b9-48be-8900-512bcfff20e7,slack,sent,HR,Engineering,2026-01-27T10:42:00+00:00,1.0
a8619b11-3f30-4230-8f32-4305cfe8274c,7dfdeafa-2757-4e5d-8b7c-b98ae721f571,b6036041-d12f-46c6-bc87-2cf4117c7039,calendar,invited,HR,Sales,2026-01-27T10:44:00+00:00,1.0
b4b3ab5d-d650-400c-96c8-40498b17eeeb,e6432cd1-eb96-40e0-993c-e2b13a7d2728,5b48394e-1765-4ebf-bb56-83e8f67d26fb,slack,sent,Engineering,Engineering,2026-01-27T10:45:00+00:00,1.0
6b6c7ae8-e524-4bc6-ab9f-5724ab800c02,6f623183-4079-4ba7-b458-7cedff5490a8,cc57fd32-79dc-482b-be54-13e696a26e44,slack,mentioned,Sales,HR,2026-01-27T10:46:00+00:00,1.0
3b2b6054-4709-47ca-b74b-290fa92e6741,751e100d-9ffb-41ca-8d93-85a0ce6452b7,6992d42d-9f9b-4821-9b43-f04556efe243,slack,sent,Engineering,Engineering,2026-01-27T10:47:00+00:00,1.0
2e4bb18c-c576-4e28-9a54-cf7278b6bc04,35cd488f-ccdd-4f71-8ea5-97afab98f43c,eb026e83-6ae6-42f3-9460-62acf855237c,calendar,invited,Engineering,HR,2026-01-27T10:50:00+00:00,1.0
63e86293-c5bd-4735-8709-393a1f236c8a,e016529c-8f90-4180-96cf-2cb02df4349b,f0e71a38-66e7-438d-b2be-a84a2f87892d,jira,assigned,Engineering,Engineering,2026-01-27T10:52:00+00:00,1.0
2d7c5d52-d1a6-4bc7-858f-634938451858,fb33c547-9207-4b2f-b6f5-5068a48bba80,30e3f437-f563-4c99-9355-3fa2b0411fc2,jira,assigned,Sales,Sales,2026-01-27T10:53:00+00:00,1.0
34c7f052-ac9a-45d0-8430-49c8267de631,35cd488f-ccdd-4f71-8ea5-97afab98f43c,88fb2710-e96d-468f-b027-beae99b8fac2,calendar,invited,Engineering,Engineering,2026-01-27T10:54:00+00:00,1.0
3eadf1a6-d646-42fc-b6a2-3831afd16dd6,35cd488f-ccdd-4f71-8ea5-97afab98f43c,66e28d30-2bf6-4787-903f-548ea876351d,calendar,invited,Engineering,HR,2026-01-27T10:57:00+00:00,1.0
